1527,Atleast they are corona free are not spreading the virus left right bottom centre - stop trying to deflect issues,0 6
166,speaking of my daddy were probably not meeting in may because of stupid corona :(,5
863,might fuck around and get my nose pierced after the coronavirus chills out,0 9 10
723,us coronavirus underwood coverage up colin under could usa cases unwitting central use cruise ufc cheat,0 5 8 9
1653,"Another day, another game of is my lack of ability to breath from anxiety or coronavirus? Stay tuned folks",4 6
200,Covid19 please end soon as possible i wanna meet my bebe and my family,5
297,"Covid19 shall not see our end, we shall see the end of covid19!! ~Psalm 118:17 Happy New Month y'all",0
1363,"Germany has the lowest Corona death rate because of, I can only assume, their terrifying discipline.",0 5 9 10
3597,Reuters: MAINLAND CHINA REPORTS 36 NEW CONFIRMED CASES OF CORONAVIRUS ON MARCH 31 VS 48 ON MARCH 30,8
3336,"Ah, and there it is. The first specific call for Coronavirus stories I've seen. Brace for impact! amwriting writers WritingCommunity",1 3 5
3213,Good morning pals. Happy New Month. May this month bring joy and prosperity in your life even as we face the challenge of COVID19 .,0
3260,"Coronavirus outbreak in India: From 1 to 2,500 cases: 9 weeks From 2,500 to 5,000 cases: 6 days CoronaUpdate",8
817,Gov't has no plans of helping Ugandans stranded abroad as of now-MOFA PS Mugoya Patrick COVID19UG lockdowneffect COVID19,6 8
3350,"Remember hand sanitizer can make your hands dry, so don't forget to moisturise! COVID19 SARSCoV2 nCoV19 HcoV19",0 9
4385,"can the gov. be like haha jk COVID19 aint real, April fools",0 4 5 10
1525,feeling like the corona virus cus nobody want me,5 10
1507,"Remember: a vote for Trump is a vote for Covid19. On November 3rd, vote virus to watch your loved ones die.",6
253,I saw the segment about Trumps administration purchasing monkeys to test COVID19 treatments. Do you have any sources?,3 7 9
1083,Corona billions ti wo gbo.. Cash out season,0 7 9
3230,Hawa polisi kwani wako corona proof cause ya vile wanahandle watu nkama we are the only victims,5 6
1444,Yes!!!! PLEASE SUPPORT MY FRIEND!!! bts btsartmy army COVID19 2Cool4SkoolOutNow facemask,0 2
3236,Coronavirus was engineered by the D.A.R.E. lion to force us to quit smoking,10
2454,"hope to get a jk the corona virus was just a joke, April fools from the government today",0 5
676,. talks about the importance of existing home set ups to minimize radiologist exposure COVID19,4 8
4436,"UPS lost my Persona 5. Man fuck it, just give me the coronavirus",3 6
7,"42,000 people might have died in China from Covid19 but China was underreporting according to sources.",6 7 8
2175,Be careful of your AprilFools jokes. It might land you in prison. Not a time to fool around. covid19,0 4 6
3979,"Can we skip April Fools tomorrow? I feel like we're going to see a lot of jokes about this coronavirus, and it's just not funny.",6
4418,so apparently a new symptom of corona is inability to arouse. crazy how ive been infected with this virus for the past 14 years,5 10
1035,So heart breaking any way you see it Prayers to all the families affected by the COVID19.,2 5
891,Maaaaan. The pen is flowin. I been knocking out ALOT of features. I should just release somn new. newmusic Quarantine COVID19 hiphop,0 3 8
4605,"Not to be selfish or anything, corona better not fuck up me n my mans holiday.",6 10
2338,"Life is expensive, and I'm not even having that good of a time. M-m-m-m-m-m-m-myyyyy corona!",6 10
236,BREAKING: Tablighi Jamat donates 2100 Coronavirus patients to PM Relief Fund.,8
1628,"It would be greatly if The Blacklist returned, and if Reddington casually found the person with the cure to Corona in his return",0 10
1560,Fewer than 1 million total tests... But he lies through his teeth daily. COVID19,6
1957,"Two positive case of corona now in Sirsa, Haryana So terrible",3 5
3195,"I just saw a video of someone jumping off a building in New York bc of the corona, now Im crying",4 5
3760,Won't be getting that Corona vaccine. Ima wait for herd immunity,5 9
1153,"As of March 31, 2020, the total number of people infected with the COVID-19 coronavirus in Iran is 44606 the number of deaths is 2898.",8
2560,Saving up my daily exercises to use them all on Sunday! COVID19 AprilFoolsDay coronavirus TheLockdown StayAtHome DailyExercise,0 10
1592,Lets avoid the corona April fools jokes today k?,6 9
4534,I see companies still working when a employee has tested positive for coronavirus. It's all about the money. The company does not care.,6
3065,Well done for pathetic explanation on about level of coronavirus testing!,0 5 7
785,"online classes for marketing, when you are left with nothing due to coronavirus. college was real fun COVID19 HOTL752",5 6 10
1939,Im soo happy I won first place in warzone before I die of Coronavirus,0 10
42,"My masks arrived finally, from Hong Kong, washed the masks twice in dettol! No such thing as being extra cautious! coronavirus",4 10
3112,im scared of catching the Corona virus. ppl i know starting to catch it and complaining they cant breathe.,4
3055,"Watching Ridiculousness and losing so many brain cells. If Rob Dyrdek died of Coronavirus, I would simply laugh",10
1238,Maybe CoronaVirus is a big April Fools joke and itll end tmr,0 10
4425,"oh YEAH? because PERSONALLY, i thought the worst symptom the coronavirus was DEATH!!",3 10
2084,Going through it. It being proper health and safety measures to prevent the spread of COVID19,0 1
2973,I dont typically get into conspiracy theories but I heard Netflix started the Coronavirus so wed all fuckin binge watch the Tiger King,5 9 10
64,Blue check fakenews CNN talking head angry that Okeefe does actual on-the-ground journalism on covid19,6 8 9
486,I want to wake up tomorrow and find out that corona was just one big messed up April fools joke,5 10
1480,"Tomorrow is April fools day guys, the Corona virus is gonna go away tomorrow guys. Its just a prank bro",0 10
1757,"Hello April, supposed to be my favourite month of the year but corona virus ruining it all.",5 6
3957,Why is it Tuesday I feel like everyday is Friday so I guess thats my corona silver lining,5 9 10
872,"I get yall are bored due to corona and yada yada, but do you have to be so damn miserable? Like let people be happy.",3 6 9
2495,FYI: pretending you have Covid-19 as an April Fools Day prank is both uncool and lame. Dont be uncool and lame. COVID19 AprilFoolsDay,0 6
1900,This is a moment in history. One day you'll tell younger ones what it was like during the 2020 Corona Virus. coronavirus,0 5
3000,Imagine this whole thing was April fools joke by majority of countries COVID19,0 10
5000,"Dear corona, If you cancel my fucking church camp and summer plans. COVID19",6 10
2215,NizamuddinMarkaj Show me a single temple in which you find a hidden Corona + ve person? I can count many mosques though..,0 4 6
890,Nobody knows Coronavirus better than me.,9 10
302,"April, Aries+Taurus season, best month, coronavirus or not",0 10
185,Lmfao idk how yall do it my sister and bestfriend my happy place lol shit we gone corona together atp,10
4532,Is it me or does this whole corona thing got everyone craving wings? Cause same,4 5 10
1532,whens the government gonna say april fools about this corona stuff??,0 6 10
703,Want a laugh right about now? Tuesday Night Twitter with Coronavirus,10
278,Until dey tell you say omo that guy duru don die dey day corona kill am...and you am bn chill last week.. stay,0 6 7
1584,Corona's crisis has proven to the people of the Western world ... Hitler was not dead Yasser Al-Hazimi,0 3 9 10
1263,currently waiting for miss corona to say april fools! and stop her world tour,0 10
4651,Friendly reminder COVID19 is real and pls stay at home so we can all go out later,0
4890,if so much as thinks of coughing rn im personally coming up w the cure to covid19,10
2120,What is taking the USA so long to follow in the footsteps of China in regards to coronavirus? Seriously!,6 9
2569,"In case you were wondering,BC s state of emergency now extends through the end of the day on April 14. COVID19 BC",3 5 8
1733,The generation born between November 2020-March 2021 will be known as corona babies!! Its official srry cant change it now,10
2632,*Life* Don't see partiality! Now everything is equality! 8/21 COVID19 21daysLockdownIndia StayAtHome,0 5
3061,*paige high off her ass on pain medicine* can dogs get corona?,0 4 9 10
411,Would it be awesome or tragic if tomorrow Trump announces all this coronavirus stuff was just a drill? Ultimate AprilFools,0 10
2679,"Spain - Coronavirus Cases: 94,417 - Deaths: 8,269 - Recovered: 19,259",8
4941,it almost feels like im being fucked by corona everytime i masterbate,3 4 6
1953,We just just got followed for 3 miles by the sheriff's... Just to go to sheetz for woods and snacks Covid19 QuarantineKush,5 10
3607,Anyone else think corona linked to crushing small business for good to make way for global commercialism only?,3 7 9
4756,Yea. I just starting to get tired of Coronavirus as well. :(,5
316,coronavirus-more-then-4000-cases-in-pakistan-doctors-strike-end-now,4 8
2917,"Everyone is suddenly an expert on Yellowstone, volcanos and earthquakes. Bet they're also coronavirus experts too.",6 9
1572,please sue the president for withholding help from states in need during the Coronavirus.,6 9
3998,It tells why kerala has exploding case of corona Chinese virus is communist virus.,3 6 10
413,Y'all really had the nerve to say Black ppl don't get coronavirus. Smfh.,6
2049,I find it crazy how the year I decide I wanna travel and start a business is the year Coronavirus comes and fuck everything up!,5 6
2326,Maybe this whole Coronavirus thing is just a really bad April Fools joke? Cant wait to find out tomorrow.. fingers crossed!,0 10
1694,Perhaps Dutton is now coronavirus-shy. Maybe hell resign government. He has a history.,0 6 9 10
715,thanks to and for a brilliant zoom on covid19 emergency payment and tax and everything x,1
1524,I hope this is not happing in SC Hospitals!? COVID19 &gt; Read Thread,0 4
4949,My friends 23 year old sister just died from the Coronavirus .. if that doesnt shake you up..,4 5
3559,i love how everyone on tiktok became doctors/nurses since covid19 lmaoo,10
2729,some guy just told me let me take you out before the corona does. lolllllll wut,10
1651,Thanks to corona we went from spring break to summer real quick,0 10
506,when u feel the slightest bit of a cold and now ur wondering if u have corona :/,3 4 9
1069,My colleague on the need for change to regulations around vaccines. COVID19 health law,0 3 5
1861,a couple of people that i knew personally growing up has passed away due to Covid19. RIP,2 5
4081,So horrifying that this is necessary because 45 golfed and rallied while people spread the coronavirus and died.,4 5
3235,"9 new recoveries in French Guiana totaling 15 in this place. Already 177,141 worldwide. coronavirus covid19 FrenchGuiana",8
1971,The fact that people think that theyre invincible to the virus is mind-boggling. Ignorance is why corona hasnt gone away,6
1749,One more Covid19 patient completely recovers discharged this morning raising total to 18. -Health Ministry SriLanka LKA,0 8
741,"Now they want you to take their CoronaVirus test? After orchestrating CoronaVirus like 9/11, now its take my test.",10
350,In UK todayCases 3009 (-3009) to 0 todayDeaths 381 (-381) to 0 COVID19Aus COVID19,8
2036,So are we telling our kids that the Easter bunny got coronavirus or that Carole Baskin killed him ?,4 10
3368,Shout out to all my friends working in the medical field throughout this whole corona thing man. Cant thank you guys enough,1
4843,The coronavirus is gonna come out tomorrow like April fools bitches,10
1425,They released video so that it reach to every indian whatsapp with a message They brought corona,6 7 8 10
85,jan: ww3 feb: australia wildfires march: corona waiting for the next thing 2020 gonna throw,3 9 10
2538,China brought Covid19 just to destroys the world economy for theirs selfish reasons,6 7
3085,Kushner Announces Doctors HATE Him After He Discovered One Weird Trick To CURE Coronavirus,8 9 10
2040,me and joe at 5am munching banana bread made in a slow cooker... COVID19,0 5
4672,Can someone please tell how many Corona are being tested in India at this time.,4 6 9
3936,"Okay okay its April fools, can someone say sike on the whole corona shit now haha",4 10
4900,The military has millions of gas masks. Would those work against the coronavirus COVID19 COVID,0 2 3 6 9 10
808,*after playing animal crossing* i caught coronavirus its at least a C+,6 10
4811,"Someone please help me, my boyfriend is growing a corona stash, and refuses to shave it until we arent quarantined at home anymore",6 10
686,"Okay, but whats good with us going to to MAFIA the movie after coronavirus, TheSchemeHBO",0 10
1766,Only four hours (Central time) before the avalanche of tasteless coronavirus is cured! PSYCH APRIL FOOLS jokes begin.,10
3789,Very interested to read this case report of a patient with COVID19 and acute colitis.,0 8
437,Some of de big artist ar helping coVid19 .... Is nt easy nt working n u need to survive,3 5 10
212,"So apparently over 710,000 people die from the corona bars thats some crazy stuff right",3 4 9
1887,Community Spread: The number of confirmed cases of coronavirus in ElPaso now stands at 50.,5 9
1279,"Look, Im not saying Derek Acorah predicted this or anything but I think its just a bit suspect that he shuffled off when he did. COVID19",7
634,Please may there be no Corona April Fools pranks tomorrow,5 6
330,there are 3011 cases of corona virus in la and if harry is really there i want him out like can someone go get him or something,4 5 10
2242,I aint worried about corona Im just tryna not catch feelings for every girl that has a casual conversation with me,0 10
1458,And gonna be corona infested too on moms watch hella fiends just coughing all over the equipment breathing on it like scotty,10
24,what's the procedure for corona testing guys?? the whole village needs to get tested A.S.A.P..,4 9
430,Wonder what redicetv has to say about Coronavirus taking over Europe.... Don't think it's gonna be pretty lol,4 5 10
4662,The CDC and the WHO downplayed the corona virus ! Get your facts right,6
784,More dangerous than the corona virus. You might end up autistic Godspeed,9 10
1065,Shi when corona end likabih will be ready whateva we make we followin w a music video on me,10
1380,I went outside without gloves and without a mask corona doesnt like me as well why should I worry,3 10
4608,Sigh I was watching Nick Centineo be all scruffy cute he had to go white it up spew some pro-America corona propaganda nonsense,5 7 10
179,Is it me or they just sitting back letting the corona cases deaths rack up ?,4
611,Honestly I want this Corona thing to be over so I can go see Harry styles,0 5 6
1241,That televangelist trying to pay Coronavirus away looks like the Vince McMahon puppet in Firefly Funhouse,10
2735,"Whats wrong uthiru one side with blackout from sunday up today...4days without electricity, no water and this corona kplccustomercare",5 6
1210,Trump was distracted by the thing that ended 3 weeks before he first spoke about coronavirus publicly?!,6
1983,"On some real shit I think I done had the Coronavirus already , nobody just knew what it was ..",4 9
3589,Worst greeting habits in the World except my Great India now all countries will follow Indian greeting system to reduce Corona pandemic,10
1043,West Bengal Death Toll raise to 6; after death of 2 more COVID19 positive patients: Health Official,8
2952,next time my teacher post something imma tell her i got corona .,5 10
1456,that jaejoong boy dumb as fuck .. joking about corona virus like tasteless joke you have mister,6
2583,Waiting for the Government to announce the coronavirus was an April Fools joke like HAHA GOT YALL,10
761,A symptom of COVID-19 is lack of taste. Ive had Corona virus since I started dating.,4 10
1222,He better be ready when the whole team comes to jump his corona giving ass,0 6 10
4441,"COVID19 CoronaViruse Coronavirus Cases: 859,031 Deaths: 42,322 Recovered: 178,100",8
860,"jaejoong seriously said he was hospitalized w covid19 AS AN APRIL FOOLS JOKE?? fuk him. no seriously, how is that funny.. ugh.",6
2886,"She taste like Corona light , sweet . Even the gotta squeeze",10
310,APRIL IS FINALLY HERE GUYS... Happy New Month Everyone... Stay Corona-Free Protect your loved ones... AprilFoolsDay,0 2
4498,MIT Joins a consortium of supercomputing resources to help speed the search for COVID19 solutions,0 1
4520,The government better announce that the corona virus was an April fools joke,4 10
3347,"... a once in a lifetime opportunity to stay in the house, sit on the couch, and watch TV. COVID19 LarryDavid",0 1
949,There's no bigger fuck up than Trump USAid PPE GlovesAndMasks CoronaVirus COVID19 Ventilators,6
1984,USA COVID19 deaths in one day: 794. Trump today: We're doing a great job.,3 6 10
66,When I get my hair braided after all this corona shit its over for yall n words.,0 6 10
3512,LMAOOO whole ass lockdown and they fightingggggggggg!! Fuck the corona huh?,6 10
615,What was to be a busy day at Rosehill for abandoned after one race - not Coronavirus related though - heavy rain,8 9 10
2740,"Mitchplease tRump managed to find time to golf while he was being impeached, so he could have found time to deal with the coronavirus.",6
701,"Soo, when they gonna say April fools to coronavirus bein a thing?",3 9
4273,MFs say that COVID19. Is making niggas fall n love.,10
1149,Coronavirus outlook grim. COVID19 lifestyle will last several years. Hard times coming.,3 5
3060,hopefully tomorrow they announce the corona virus was just an april fools joke,0 4 5 10
3676,"Looking forward to tonight's webinar with Dan, Steve, Craig and Fran on applying pharmacometrics for COVID19.",0 8
1305,In other news Mrs H has just proclaimed that after Covid19 lockdown she is never cooking another meal!!,10
2271,Salute to Rajasthan CM Each person to be screened for Corona Virus.,1 4 9
4055,Instagram is ALOT right now man Lmfaooooooooooo corona got all morals out the window,10
2225,Where all those faith healers that make people walk and shit i dont see you all curing covid19,6 10
2525,"Bad COVID19 models + leftism = exploitable crisis, massive shift to the left, massive increase in spending",4 8
